Key,Japanese,English,Chinese,Korean,French,German,Spanish
auth.resendFailed,認証コードの再送信に失敗しました。再度お試しください。,Resending the authentication code failed. Please try again.,重新发送验证码失败。请重新尝试。,인증 코드 재전송에 실패했습니다. 다시 시도해 주세요.,Échec de la nouvelle tentative d'envoi du code d'authentification. Veuillez réessayer.,Das erneute Senden des Authentifizierungscodes ist fehlgeschlagen. Bitte versuchen Sie es erneut.,Error al reenviar el código de autenticación. Inténtelo de nuevo.
auth.logout,ログアウト,Logout,退出登录,로그아웃,Déconnexion,Abmelden,Cerrar
auth.verifying,メールアドレスを確認中...,Checking email address...,正在验证邮箱地址...,이메일 주소 확인 중...,Vérification de l'adresse e-mail...,E-Mail-Adresse wird überprüft...,Comprobando la dirección de correo electrónico...
auth.verifyingDescription,しばらくお待ちください。メールアドレスを確認しています。,Please wait. We are checking your email address.,请稍候。正在验证邮箱地址。,잠시만 기다려 주세요. 이메일 주소를 확인 중입니다.,Veuillez patienter. Nous vérifions votre adresse e-mail.,Bitte warten Sie. Wir überprüfen Ihre E-Mail-Adresse.,"Por favor, espere. Estamos comprobando su dirección de correo electrónico."
auth.verifyError,メール確認失敗,Email verification failed,邮箱验证失败,이메일 인증에 실패했습니다,Échec de la vérification de l'adresse e-mail.,E-Mail-Bestätigung fehlgeschlagen,Verificación de correo electrónico fallida
auth.backToLogin,ログインに戻る,Return to login,返回登录页面,로그인 화면으로 돌아가기,Retour à la connexion.,Zurück zur Anmeldung,Volver al inicio de sesión
auth.forgotPassword,パスワードを忘れましたか？,Forgot your password?,忘记密码？,비밀번호를 잊으셨나요?,Mot de passe oublié ?,Passwort vergessen?,¿Ha olvidado su contraseña?
auth.resetPasswordTitle,パスワードリセット,Reset Password,密码重置,비밀번호 재설정,Réinitialiser le mot de passe.,Passwort zurücksetzen,Restablecer contraseña
auth.resetPasswordSubtitle,メールアドレスを入力してください。リセット認証コードを送信します,Enter your email address. We will send you a reset verification code.,请输入邮箱地址。我们将发送重置验证码,이메일 주소를 입력하세요. 비밀번호 재설정 확인 코드를 보내드리겠습니다.,Saisissez votre adresse e-mail. Nous vous enverrons un code de vérification pour la réinitialisation.,Geben Sie Ihre E-Mail-Adresse ein. Wir senden Ihnen einen Code zur Zurücksetzung.,Introduzca su dirección de correo electrónico. Le enviaremos un código de verificación para restablecerla.
auth.resetPasswordDescription,{{email}} にリセット認証コードを送信しました。認証コードを入力して新しいパスワードを設定してください。,We have sent a reset verification code to {{email}}. Enter the verification code and set a new password.,已向{{email}}发送重置验证码。请输入验证码并设置新密码。,{{email}}로 비밀번호 재설정 확인 코드를 보내드렸습니다. 확인 코드를 입력하고 새로운 비밀번호를 설정하세요.,Nous avons envoyé un code de vérification de réinitialisation à {{email}}. Saisissez le code de vérification et définissez un nouveau mot de passe.,Wir haben einen Code zur Zurücksetzung an {{email}} gesendet. Geben Sie den Code ein und legen Sie ein neues Passwort fest.,Hemos enviado un código de verificación de restablecimiento a {{email}}. Introduzca el código de verificación y establezca una nueva contraseña.
auth.sendResetCode,リセットコードを送信,Send Reset Code,发送重置码,재설정 코드 보내기,Envoyer le code de réinitialisation,Code senden,Enviar código de restablecimiento
auth.resetCodeSent,リセット認証コードをメールアドレスに送信しました,We have sent a reset verification code to your email address.,已向邮箱地址发送重置验证码,이메일 주소로 비밀번호 재설정 확인 코드를 보내드렸습니다.,Nous avons envoyé un code de vérification de réinitialisation à votre adresse e-mail.,Wir haben einen Code zur Zurücksetzung an Ihre E-Mail-Adresse gesendet.,Hemos enviado un código de verificación de restablecimiento a su dirección de correo electrónico.
auth.resetCodeSendFailed,リセット認証コードの送信に失敗しました。再試行してください,Failed to send reset verification code. Please try again.,重置验证码发送失败。请重新尝试,재설정 확인 코드 전송에 실패했습니다. 다시 시도해 주세요.,Échec de l'envoi du code de vérification de réinitialisation. Veuillez réessayer.,Der Code zur Zurücksetzung konnte nicht gesendet werden. Bitte versuchen Sie es erneut.,No se ha podido enviar el código de verificación de restablecimiento. Inténtelo de nuevo.
auth.newPassword,新しいパスワード,New Password,新密码,새로운 비밀번호,Nouveau mot de passe,Neues,Nueva contraseña
auth.confirmNewPassword,新しいパスワードを確認,Confirm New Password,确认新密码,새로운 비밀번호 확인,Confirmer le nouveau mot de passe,Bestätigen,Confirmar nueva contraseña
auth.newPasswordPlaceholder,新しいパスワードを入力してください,Enter your new password.,请输入新密码,새로운 비밀번호를 입력하세요.,Entrez votre nouveau mot de passe.,Geben Sie Ihr neues Passwort ein.,Introduzca su nueva contraseña.
auth.resetPassword,パスワードリセット,Reset Password,密码重置,비밀번호 재설정,Réinitialisation du mot de passe,Passwort,Restablecer contraseña
auth.resetSuccess,パスワードリセットが成功しました。新しいパスワードでログインしてください,Password reset successful. Please log in with your new password.,密码重置成功。请使用新密码登录,비밀번호 재설정이 성공적으로 완료되었습니다. 새로운 비밀번호로 로그인해 주세요.,Réinitialisation du mot de passe réussie. Veuillez vous connecter avec votre nouveau mot de passe.,Passwort zurücksetzen erfolgreich. Bitte melden Sie sich mit Ihrem neuen Passwort an.,Restablecimiento de contraseña correcto. Inicie sesión con su nueva contraseña.
auth.resetFailed,パスワードリセットに失敗しました。再試行してください,Password reset failed. Please try again.,密码重置失败。请重新尝试,비밀번호 재설정이 실패했습니다. 다시 시도해 주세요.,Échec de la réinitialisation du mot de passe. Veuillez réessayer.,Passwort zurücksetzen fehlgeschlagen. Bitte versuchen Sie es erneut.,Restablecimiento de contraseña fallido. Inténtelo de nuevo.
auth.guestSimpleNotice,ゲストモードでは一部の機能が制限されます。完全な機能を体験するにはログインしてください。,Some features are restricted in guest mode. Please log in to experience full functionality.,在访客模式下，部分功能将受限。如需体验完整功能，请登录。,게스트 모드에서는 일부 기능이 제한됩니다. 전체 기능을 경험하려면 로그인해 주세요.,Certaines fonctionnalités sont limitées en mode invité. Veuillez vous connecter pour profiter de toutes les fonctionnalités.,"Einige Funktionen sind im Gastmodus eingeschränkt. Bitte melden Sie sich an, um alle Funktionen nutzen zu können.",Algunas funciones están restringidas en el modo invitado. Inicie sesión para disfrutar de todas las funciones.
auth.guestLimitations.title,ゲストユーザーの制限：,Guest user restrictions:,访客用户限制：,게스트 사용자 제한 사항:,Restrictions pour les utilisateurs invités :,Einschränkungen für Gastbenutzer:,Restricciones para usuarios invitados:
auth.guestLimitations.timeLimit,• 録音時間は5分間に制限されます,• Recording time is limited to 5 minutes.,• 录音时间限制为5分钟,• 녹음 시간은 5분으로 제한됩니다.,• La durée d'enregistrement est limitée à 5 minutes.,• Die Aufnahmedauer ist auf 5 Minuten begrenzt.,• El tiempo de grabación está limitado a 5 minutos.
auth.guestLimitations.noUpload,• 音声ファイルをアップロードできません,• You cannot upload audio files.,• 无法上传音频文件,• 오디오 파일을 업로드할 수 없습니다.,• Vous ne pouvez pas télécharger de fichiers audio.,• Sie können keine Audiodateien hochladen.,• No se pueden cargar archivos de audio.
auth.guestLimitations.noCopy,• 文字起こしテキストをコピーできません,• You cannot copy transcription text.,• 无法复制文字转录文本,• 전사 텍스트를 복사할 수 없습니다.,• Vous ne pouvez pas copier le texte de la transcription.,• Sie können Transkriptionstexte nicht kopieren.,• No se puede copiar el texto de la transcripción.
auth.guestLimitations.noExport,• Wordにエクスポートできません,• You cannot export to Word.,• 无法导出至Word,• Word로 내보낼 수 없습니다.,• Vous ne pouvez pas exporter vers Word.,• Sie können nicht nach Word exportieren.,• No se puede exportar a Word.
auth.guestLimitations.noUsageStats,• 使用量統計を確認できません,• Usage statistics cannot be viewed,• 无法查看使用量统计,• 사용 통계 정보를 확인할 수 없습니다.,• Les statistiques d'utilisation ne peuvent pas être consultées.,• Nutzungsstatistiken können nicht angezeigt werden.,• No se pueden ver las estadísticas de uso.
adminPanel.title,管理者パネル,Administrator Panel,管理员面板,관리자 패널,Panneau d'administration,Administrator-Panel,Panel de administrador
adminPanel.subtitle,テストパネルにアクセスするには管理者パスワードを入力してください,Enter the administrator password to access the test panel,访问测试面板需输入管理员密码,테스트 패널에 액세스하려면 관리자 비밀번호를 입력해 주세요.,Entrez le mot de passe administrateur pour accéder au panneau de test.,"Geben Sie das Administrator-Passwort ein, um auf das Test-Panel zuzugreifen.",Introduzca la contraseña de administrador para acceder al panel de prueba
adminPanel.passwordPlaceholder,管理者パスワードを入力してください,Enter the administrator password,请输入管理员密码,관리자 비밀번호를 입력하세요,Entrez le mot de passe administrateur.,Geben Sie das Administrator-Passwort ein.,Introduzca la contraseña de administrador
adminPanel.loginButton,管理者パネルにログイン,Log in to the administrator panel,登录管理员面板,관리자 패널에 로그인하세요,Connectez-vous au panneau d'administration.,Melden Sie sich beim Administrator-Panel an.,Inicie sesión en el panel de administrador
adminPanel.passwordError,パスワードが間違っています。再試行してください,The password is incorrect. Please try again,密码错误。请重新尝试,비밀번호가 잘못되었습니다. 다시 시도해 주세요,Le mot de passe est incorrect. Veuillez réessayer.,Das Passwort ist falsch. Bitte versuchen Sie es erneut.,La contraseña es incorrecta. Inténtelo de nuevo
adminPanel.passwordHint,ヒント：デフォルトパスワードは,Hint: The default password is,提示：默认密码是,힌트: 기본 비밀번호는,Indice : le mot de passe par défaut est,Hinweis: Das Standardpasswort lautet,Sugerencia: la contraseña predeterminada es
adminPanel.testPanelTitle,管理者テストパネル,Administrator Test Panel,管理员测试面板,관리자 테스트 패널,Panneau de test administrateur,Administrator-Test-Panel,Panel de prueba del administrador
adminPanel.testPanelSubtitle,異なるユーザーアイデンティティとシナリオをシミュレートして機能テストを行う,Simulate different user identities and scenarios to perform functional testing,模拟不同用户身份和场景进行功能测试,다양한 사용자 신원과 시나리오를 시뮬레이션하여 기능 테스트를 수행합니다,Simulez différentes identités d'utilisateurs et différents scénarios pour effectuer des tests fonctionnels.,"Simulieren Sie verschiedene Benutzeridentitäten und Szenarien, um Funktionstests durchzuführen.",Simule diferentes identidades de usuario y escenarios para realizar pruebas funcionales
adminPanel.userSwitch,ユーザーアイデンティティ切り替え,User Identity Switch,用户身份切换,사용자 신원 전환,Changement d'identité utilisateur,Benutzeridentitätswechsel,Cambio de identidad de usuario
adminPanel.guestMode,ゲストモード,Guest Mode,访客模式,게스트 모드,Mode invité,Gastmodus,Modo invitado
adminPanel.currentUserStatus,現在のテストユーザーステータス,Current Test User Status,当前测试用户状态,현재 테스트 사용자 상태,Statut actuel de l'utilisateur test,Aktueller Testbenutzerstatus,Estado actual del usuario de prueba
adminPanel.userType,ユーザータイプ,User Type,用户类型,사용자 유형,Type d'utilisateur,Benutzertyp,Tipo de usuario
adminPanel.email,メールアドレス,Email Address,电子邮件地址,이메일 주소,Adresse e-mail,E-Mail,Dirección de correo electrónico
adminPanel.quota,クォータ,Quota,配额,할당량,Quota,Kontingent,Cuota
adminPanel.used,使用済み,Used,已使用,사용량,Utilisé,Verwendet,Usada
adminPanel.remaining,残り,Remaining,剩余,잔여량,Restant,Verbleibend,Restante
adminPanel.plan,プラン,Plan,计划,플랜,Forfait,Plan,Plan
adminPanel.usageSimulation,使用量シミュレーション,Usage simulation,使用量模拟,사용량 시뮬레이션,Simulation d'utilisation,Nutzungssimulation,Simulación de uso
adminPanel.resetUsage,使用量をリセット,Reset usage,重置使用量,사용량 초기화,Réinitialiser l'utilisation,Nutzung zurücksetzen,Restablecer uso
adminPanel.purchaseSimulation,時間購入/サブスクリプションシミュレーション,Time purchase/subscription simulation,时间购买/订阅模拟,시간 구매/구독 시뮬레이션,Simulation d'achat/d'abonnement,Zeitkauf-/Abonnement-Simulation,Simulación de compra/suscripción de tiempo
adminPanel.purchaseDuration,時間を購入,Purchase time,购买时间,구매 시간,Heure d'achat,Kaufzeit,Tiempo de compra
adminPanel.subscription,サブスクリプションサービス,Subscription service,订阅服务,구독 서비스,Service d'abonnement,Abonnementdienst,Servicio de suscripción
adminPanel.scenarioSimulation,シナリオシミュレーション,Scenario simulation,场景模拟,시나리오 시뮬레이션,Simulation de scénario,Szenariosimulation,Simulación de escenario
adminPanel.networkSimulation,ネットワークシミュレーション,Network simulation,网络模拟,네트워크 시뮬레이션,Simulation de réseau,Netzwerksimulation,Simulación de red
adminPanel.normalNetwork,通常のネットワーク,Normal network,正常网络,정상 네트워크,Réseau normal,Normales Netzwerk,Red normal
adminPanel.slowNetwork,低速ネットワーク,Slow network,低速网络,느린 네트워크,Réseau lent,Langsames Netzwerk,Red lenta
adminPanel.quotaExceeded,クォータ超過,Quota exceeded,配额超限,쿼터 초과,Quota dépassé,Kontingent überschritten,Cuota excedida
adminPanel.testFileUpload,ファイルアップロードテスト,File upload test,文件上传测试,파일 업로드 테스트,Test de téléchargement de fichiers,Datei-Upload-Test,Prueba de carga de archivos
adminPanel.fileSelected,選択済み,Selected,已选中,선택됨,Sélectionné,Ausgewählt,Seleccionado
adminPanel.audioSimulation,音声文字起こし機能シミュレーション,Voice transcription function simulation,语音转文字功能模拟,음성 전사 기능 시뮬레이션,Simulation de la fonction de transcription vocale,Sprach-Transkriptionsfunktion-Simulation,Simulación de la función de transcripción de voz
adminPanel.recordingSimulation,リアルタイム録音シミュレーション,Real-time recording simulation,实时录音模拟,실시간 녹음 시뮬레이션,Simulation d'enregistrement en temps réel,Echtzeit-Aufzeichnungssimulation,Simulación de grabación en tiempo real
adminPanel.fileUploadSimulation,ファイルアップロードシミュレーション,File upload simulation,文件上传模拟,파일 업로드 시뮬레이션,Simulation de téléchargement de fichiers,Datei-Upload-Simulation,Simulación de carga de archivos
adminPanel.transcriptionSimulation,文字起こし結果シミュレーション,Transcription results simulation,转文字结果模拟,전사 결과 시뮬레이션,Simulation des résultats de transcription,Transkriptionsergebnis-Simulation,Simulación de resultados de transcripción
adminPanel.permissionTest,機能権限テスト,Function permission test,功能权限测试,기능 권한 테스트,Test des autorisations de fonction,Funktionsberechtigungstest,Prueba de permisos de funciones
adminPanel.quickNavigation,クイックナビゲーション,Quick navigation,快速导航,빠른 탐색,Navigation rapide,Schnellnavigation,Navegación rápida
adminPanel.systemInfo,システム情報,System information,系统信息,시스템 정보,Informations système,Systeminformationen,Información del sistema
adminPanel.simulationMode,シミュレーションモード,Simulation mode,模拟模式,시뮬레이션 모드,Mode simulation,Simulationsmodus,Modo de simulación
adminPanel.localStorage,ローカルストレージ,Local storage,本地存储,로컬 저장소,Stockage local,Lokaler Speicher,Almacenamiento local
adminPanel.clearAllData,すべてのデータをクリア,Clear all data,清除所有数据,모든 데이터 삭제,Effacer toutes les données,Alle Daten löschen,Borrar todos los datos
adminPanel.consoleLog,コンソールログ,Console log,控制台日志,콘솔 로그,Journal de la console,Konsolenprotokoll,Registro de la consola
adminPanel.checkBrowserDevTools,ブラウザの開発者ツールをご確認ください,Please check your browser's developer tools,请查看浏览器开发者工具,브라우저의 개발자 도구를 확인해 주세요,Veuillez vérifier les outils de développement de votre navigateur,Bitte überprüfen Sie die Entwicklertools Ihres Browsers,Compruebe las herramientas de desarrollador de su navegador
adminPanel.selectTestUser,まずテストユーザーを選択してください,"First, select a test user",请先选择测试用户,먼저 테스트 사용자를 선택하세요,Commencez par sélectionner un utilisateur test,Wählen Sie zunächst einen Testbenutzer aus,"Primero, seleccione un usuario de prueba"
adminPanel.guestRecordingLimit,ゲストユーザーは5分以上録音できません,Guest users cannot record for more than 5 minutes.,访客用户无法录音超过5分钟,게스트 사용자는 5분 이상 녹화할 수 없습니다.,Les utilisateurs invités ne peuvent pas enregistrer pendant plus de 5 minutes.,Gastbenutzer können nicht länger als 5 Minuten aufzeichnen.,Los usuarios invitados no pueden grabar durante más de 5 minutos.
adminPanel.quotaInsufficient,クォータ不足！残り{{remaining}}分、{{required}}分必要,"Quota insufficient! {{remaining}} minutes remaining, {{required}} minutes required.",配额不足！剩余{{remaining}}分钟，需{{required}}分钟,"쿼타 부족! {{remaining}} 분 남아 있으며, {{required}} 분이 필요합니다.","Quota insuffisant ! {{remaining}} minutes restantes, {{required}} minutes requises.","Kontingent nicht ausreichend! {{remaining}} Minuten verbleibend, {{required}} Minuten erforderlich.","¡Cuota insuficiente! {{remaining}} minutos restantes, {{required}} minutos necesarios."
adminPanel.guestCannotUpload,ゲストユーザーはファイルをアップロードできません。リアルタイム録音機能をご利用ください,Guest users cannot upload files. Please use the real-time recording feature.,访客用户无法上传文件。请使用实时录音功能,게스트 사용자는 파일을 업로드할 수 없습니다. 실시간 녹화 기능을 사용해 주세요.,Les utilisateurs invités ne peuvent pas télécharger de fichiers. Veuillez utiliser la fonctionnalité d'enregistrement en temps réel.,Gastbenutzer können keine Dateien hochladen. Bitte verwenden Sie die Echtzeit-Aufnahmefunktion.,Los usuarios invitados no pueden cargar archivos. Utilice la función de grabación en tiempo real.
adminPanel.recordingComplete,録音シミュレーション完了！{{minutes}}分使用、残りクォータ：{{remaining}}分,"Recording simulation complete! {{minutes}} minutes used, remaining quota: {{remaining}} minutes.",录音模拟完成！使用{{minutes}}分钟，剩余配额：{{remaining}}分钟,"녹화 시뮬레이션 완료! {{minutes}} 분 사용, 남은 쿼타: {{remaining}} 분.","Simulation d'enregistrement terminée ! {{minutes}} minutes utilisées, quota restant : {{remaining}} minutes.","Aufnahmesimulation abgeschlossen! {{minutes}} Minuten verwendet, verbleibende Quote: {{remaining}} Minuten.","¡Simulación de grabación completada! {{minutes}} minutos utilizados, cuota restante: {{remaining}} minutos."
adminPanel.uploadComplete,ファイルアップロードシミュレーション完了！{{filename}}処理済み、{{minutes}}分使用,"File upload simulation complete! {{filename}} processed, {{minutes}} minutes used.",文件上传模拟完成！已处理{{filename}}，使用{{minutes}}分钟,"파일 업로드 시뮬레이션 완료! {{filename}} 처리됨, {{minutes}} 분 사용됨.","Simulation de téléchargement de fichier terminée ! {{filename}} traité, {{minutes}} minutes utilisées.","Datei-Upload-Simulation abgeschlossen! {{filename}} verarbeitet, {{minutes}} Minuten verwendet.","¡Simulación de carga de archivo completada! {{filename}} procesado, {{minutes}} minutos utilizados."
myPage.title,マイページ,My Page,我的页面,내 페이지,Ma page,Meine Seite,Mi página
myPage.userInfo,ユーザー情報,User Information,用户信息,사용자 정보,Informations utilisateur,Benutzerinformationen,Información del usuario
myPage.email,メールアドレス,Email Address,电子邮件地址,이메일 주소,Adresse e-mail,E-Mail-Adresse,Dirección de correo electrónico
myPage.userType,ユーザータイプ,User Type,用户类型,사용자 유형,Type d'utilisateur,Benutzertyp,Tipo de usuario
myPage.memberSince,登録日,Registration Date,注册日期,등록 날짜,Date d'inscription,Registrierungsdatum,Fecha de registro
myPage.goToUsage,使用量統計,Usage Statistics,使用量统计,사용 통계,Statistiques d'utilisation,Nutzungsstatistik,Estadísticas de uso
myPage.goToPricing,時間購入,Time Purchase,时间购买,시간 구매,Durée d'achat,Zeit Kauf,Tiempo de compra
myPage.changePassword,パスワード変更,Password Change,密码更改,비밀번호 변경,Modification du mot de passe,Passwort ändern,Cambio de contraseña
myPage.paymentHistory,支払い履歴,Payment History,支付历史,결제 내역,Historique des paiements,Zahlungshistorie,Historial de pagos
myPage.noPaymentRecords,支払い履歴はありません,No payment history,没有支付历史,결제 내역 없음,Aucun historique de paiement,Keine Zahlungshistorie,Sin historial de pagos
myPage.cancelSubscriptionNote,サブスクリプションプランをご購入いただくと、こちらで自動更新を解約できます,"If you purchase a subscription plan, you can cancel the auto-renewal here",购买订阅计划后，可在此取消自动续订,구독 계획을 구매하시면 여기에서 자동 갱신 취소 가능합니다,"Si vous achetez un abonnement, vous pouvez annuler le renouvellement automatique ici","Wenn Sie ein Abonnement erwerben, können Sie die automatische Verlängerung hier kündigen.","Si adquiere un plan de suscripción, puede cancelar la renovación automática aquí"
myPage.noActiveSubscription,有効なサブスクリプションがありません,No valid subscription,没有有效的订阅,유효한 구독 계획 없음,Abonnement non valide,Kein gültiges Abonnement,Sin suscripción válida
myPage.timePlan,時間プラン,Time Plan,时间计划,시간 계획,Durée,Zeitplan,Plan de tiempo
myPage.subscription,サブスクリプション,Subscription,订阅,구독,Abonnement,Abonnement,Suscripción
myPage.cancelSubscription,サブスクリプション解約,Subscription Cancellation,订阅取消,구독 취소,Annulation de l'abonnement,Abonnement kündigen,Cancelación de la suscripción
myPage.onlySubscriptionCanCancel,サブスクリプションプランのみ解約できます,Only subscription plans can be canceled,仅可取消订阅计划,구독 계획만 취소 가능합니다,Seuls les abonnements peuvent être annulés,Nur Abonnements können gekündigt werden.,Solo se pueden cancelar los planes de suscripción
myPage.subscriptionAlreadyCancelled,サブスクリプションは既に解約済みまたは期限切れです,The subscription has already been canceled or has expired,订阅已取消或已过期,구독은 이미 취소되었거나 만료되었습니다,L'abonnement a déjà été annulé ou a expiré,Das Abonnement wurde bereits gekündigt oder ist abgelaufen,La suscripción ya ha sido cancelada o ha caducado
myPage.cancelSubscriptionConfirm,サブスクリプションを解約してもよろしいですか？{{details}},Are you sure you want to cancel your subscription? {{details}},您确定要取消订阅吗？{{details}},구독을 취소하시겠습니까? {{details}},Êtes-vous sûr de vouloir annuler votre abonnement ? {{details}},Möchten Sie Ihr Abonnement wirklich kündigen? {{details}},¿Está seguro de que desea cancelar su suscripción? {{details}}
myPage.cancelSubscriptionDetails,\n\n注意事項：\n• 解約後は自動更新が停止されます\n• 現在の契約期間中はサービスをご利用いただけます\n• 期限切れ後はサブスクリプション機能が利用できなくなります,\n\nImportant notes:\n• Automatic renewal will be stopped after cancellation\n• You can continue to use the service during the current contract period\n• Subscription features will no longer be available after the expiration date,\n\n注意事项：\n• 取消后自动续订将停止\n• 在当前合同期间内仍可使用服务\n• 过期后将无法使用订阅功能,\n\n중요 사항:\n• 취소 후 자동 갱신은 중단됩니다\n• 현재 계약 기간 동안 서비스를 계속 사용할 수 있습니다\n• 만료일 이후에는 구독 기능이 더 이상 사용 불가능합니다,\n\nRemarques importantes :\n• Le renouvellement automatique sera interrompu après l'annulation\n• Vous pouvez continuer à utiliser le service pendant la période contractuelle en cours\n• Les fonctionnalités de l'abonnement ne seront plus disponibles après la date d'expiration,\n\nWichtige Hinweise:\n• Die automatische Verlängerung wird nach der Kündigung eingestellt\n• Sie können den Dienst während der laufenden Vertragslaufzeit weiterhin nutzen\n• Nach Ablauf des Abonnements stehen Ihnen die Funktionen des Abonnements nicht mehr zur Verfügung,\n\nNotas importantes:\n• La renovación automática se detendrá tras la cancelación\n• Podrá seguir utilizando el servicio durante el periodo contractual actual\n• Las funciones de la suscripción dejarán de estar disponibles tras la fecha de caducidad
myPage.subscriptionCancelSuccess,サブスクリプションを解約しました。自動更新が停止されました,Subscription canceled. Automatic renewal has been stopped,已取消订阅。自动续订已停止,구독이 취소되었습니다. 자동 갱신이 중단되었습니다,Abonnement annulé. Le renouvellement automatique a été interrompu,Abonnement gekündigt. Die automatische Verlängerung wurde eingestellt,Suscripción cancelada. Se ha detenido la renovación automática
myPage.subscriptionCancelError,サブスクリプション解約に失敗しました。しばらくしてから再試行してください,Subscription cancellation failed. Please try again later,订阅取消失败。请稍后再试,구독 취소에 실패했습니다. 나중에 다시 시도해 주세요,Échec de l'annulation de l'abonnement. Veuillez réessayer plus tard,Abonnementkündigung fehlgeschlagen. Bitte versuchen Sie es später erneut,Error al cancelar la suscripción. Inténtelo de nuevo más tarde
myPage.currentPassword,現在のパスワード,Current password,当前密码,현재 비밀번호,Mot de passe actuel,Aktuelles Passwort,Contraseña actual
myPage.newPassword,新しいパスワード,New password,新密码,새 비밀번호,Nouveau mot de passe,Neues Passwort,Nueva contraseña
myPage.confirmPassword,パスワード確認,Confirm password,密码确认,비밀번호 확인,Confirmez le mot de passe,Passwort,Confirmar contraseña
myPage.passwordMismatch,パスワードが一致しません,Passwords do not match,密码不匹配,비밀번호가 일치하지 않습니다,Les mots de passe ne correspondent pas,Passwörter stimmen nicht überein,Las contraseñas no coinciden
myPage.passwordChangeSuccess,パスワード変更成功,Password change successful,密码更改成功,비밀번호 변경 성공,Changement de mot de passe réussi,Passwortänderung erfolgreich,Cambio de contraseña correcto
myPage.passwordChangeError,パスワード変更失敗,Password change failed,密码更改失败,비밀번호 변경 실패,Changement de mot de passe échoué,Passwortänderung fehlgeschlagen,Error al cambiar la contraseña
myPage.loginToUnlock,アカウントにアクセスするにはログインしてください,Please log in to access your account,请登录以访问账户,계정에 액세스하려면 로그인해 주세요,Veuillez vous connecter pour accéder à votre compte,"Bitte melden Sie sich an, um auf Ihr Konto zuzugreifen.",Inicie sesión para acceder a su cuenta
myPage.user,ユーザー,User,用户,사용자,Utilisateur,Benutzer,Usuario
myPage.userTypes.guest,ゲストユーザー,Guest user,访客用户,게스트 사용자,Utilisateur invité,Gastbenutzer,Usuario invitado
myPage.userTypes.trial,試用ユーザー,Trial user,试用用户,트라이얼 사용자,Utilisateur d'essai,Testbenutzer,Usuario de prueba
myPage.userTypes.paid,有料ユーザー,Paid user,付费用户,유료 사용자,Utilisateur payant,Bezahlender Benutzer,Usuario de pago
myPage.userTypes.subscription,サブスクリプションユーザー,Subscription user,订阅用户,구독 사용자,Utilisateur abonné,Abonnent,Usuario con suscripción
myPage.userTypes.admin,管理者,Administrator,管理员,관리자,Administrateur,Administrator,Administrador
myPage.userTypes.unknown,不明,Unknown,未知,알 수 없음,Inconnu,Unbekannt,Desconocido
myPage.status.active,有効,Active,有效,활성,Actif,Aktiv,Activo
myPage.status.cancelled,キャンセル済み,Cancelled,已取消,취소됨,Annulé,Gekündigt,Cancelado
myPage.status.expired,期限切れ,Expired,过期,만료됨,Expiration,Abgelaufen,Caducado
myPage.subscriptionExpiry.continuesUntil,{{date}}まで継続,Valid until {{date}},有效期至{{date}},{{date}}까지 유효,Valide jusqu'au {{date}},Gültig bis {{date}},Válido hasta {{fecha}}
myPage.subscriptionExpiry.autoRenewalIn,あと{{days}}日で自動更新,Automatic renewal in {{days}} days,剩余{{days}}天自动续订,{{days}}일 후에 자동 갱신,Renouvellement automatique dans {{days}} jours,Automatische Verlängerung in {{days}} Tagen,Renovación automática en {{días}} días
myPage.subscriptionExpiry.validUntil,{{date}}まで有効,Valid until {{date}},有效期至{{date}},{{date}}까지 유효,Valide jusqu'au {{date}},Gültig bis {{date}},Válido hasta {{fecha}}
footer.copyright,voice2minutes {{year}} all rights reserved,voice2minutes {{year}} all rights reserved,voice2minutes {{year}} all rights reserved,voice2minutes {{year}} all rights reserved,voice2minutes {{year}} all rights reserved,voice2minutes {{year}} all rights reserved,voice2minutes {{year}} all rights reserved
